Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status,UULE
"1000066","Tortuguitas","Tortuguitas,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCQcaZhKOmLyVETMl2pLz3lEK
"1000067","Trenque Lauquen","Trenque Lauquen,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCXuhNHj_e8GVEfHC98gnh1X7
"1000069","Vicente Lopez","Vicente Lopez,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCcmlazimtryVEU3aYVjXngO4
"1000070","Villa Gesell","Villa Gesell,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCYUTq7NcYJuVEXWc8QkRrLaH
"1000072","Zarate","Zarate,Buenos Aires Province,Argentina","20009","AR","City",Active,w+CAIQIFISCU17NZJqC7uVEV0IRcHHmn1f
"1000073","Buenos Aires","Buenos Aires,Buenos Aires,Argentina","20010","AR","City",Active,w+CAIQIFISCb0M-U47yryVEYeO6IgugbOg
"1000075","Concepcion del Uruguay","Concepcion del Uruguay,Entre Rios Province,Argentina","20011","AR","City",Active,w+CAIQIFISCZ2TvF0A26-VEbI0E8vGI4o8
"1000077","Gualeguaychu","Gualeguaychu,Entre Rios Province,Argentina","20011","AR","City",Active,w+CAIQIFISCUM1M_MoqLqVEcGXlKfWk1-p
"1000078","Parana","Parana,Entre Rios Province,Argentina","20011","AR","City",Active,w+CAIQIFISCTFSg7nyTbSVEZr6XKrgvU5V
"1000080","La Rioja","La Rioja,La Rioja Province,Argentina","20012","AR","City",Active,w+CAIQIFISCeX3ljOH2SeUEcrHcok0nBw-
"1000081","Santiago del Estero","Santiago del Estero,Santiago del Estero Province,Argentina","21298","AR","City",Active,w+CAIQIFISCWv5M99qUjuUEdbIZHftGJ2a
"1000082","Resistencia","Resistencia,Chaco Province,Argentina","20013","AR","City",Active,w+CAIQIFISCQv39aZiDEWUEW3NwhFlyDrw
"1000083","Roque Saenz Pena","Roque Saenz Pena,Santa Fe Province,Argentina","20021","AR","City",Active,w+CAIQIFISCcN5z455qbeVEVZ70ZoT1l-P
"1000085","San Juan","San Juan,San Juan Province,Argentina","20014","AR","City",Active,w+CAIQIFISCZfUPKMpQIGWEbP8PCOgo_O_
"1000086","Catamarca","Catamarca,Catamarca Province,Argentina","20015","AR","City",Active,w+CAIQIFISCc2fDx2_KCSUERqGCRZL3R5-
"1000088","General Pico","General Pico,La Pampa Province,Argentina","20016","AR","City",Active,w+CAIQIFISCT-0R5hPfcOVEYmde8-ux09r
"1000089","Santa Rosa","Santa Rosa,La Pampa Province,Argentina","20016","AR","City",Active,w+CAIQIFISCTOKVfcHzcKVEYH9cHsqjNp7
"1000092","Mendoza","Mendoza,Mendoza Province,Argentina","20017","AR","City",Active,w+CAIQIFISCb95UcQ-CX6WETr6DtL2eFog
"1000094","San Martin","San Martin,Mendoza Province,Argentina","20017","AR","City",Active,w+CAIQIFISCc86-lX-Qn6WEQKRPaTv6XUW
"1000095","San Rafael","San Rafael,Mendoza Province,Argentina","20017","AR","City",Active,w+CAIQIFISCacGPbH9B3mWEZ0wc9SWJ_vg
"1000096","Posadas","Posadas,Misiones Province,Argentina","20018","AR","City",Active,w+CAIQIFISCcOWBAh_vleUEZp7PmJ087_M
"1000097","Formosa","Formosa,Formosa Province,Argentina","21299","AR","City",Active,w+CAIQIFISCQVPz4jkpVyUEXKuG1rm68oL
"1000099","Neuquen","Neuquen,Neuquen Province,Argentina","20019","AR","City",Active,w+CAIQIFISCTWO6zW6MwqWEfXi4xC4rCBi
"1000100","San Martin de los Andes","San Martin de los Andes,Neuquen Province,Argentina","20019","AR","City",Active,w+CAIQIFISCcfQBTZ0DhGWETq8Zhz7P8Rx
"1000104","San Carlos de Bariloche","San Carlos de Bariloche,Rio Negro Province,Argentina","20020","AR","City",Active,w+CAIQIFISCeVgyCAVexqWEWWae8uXrhCC
"1000105","Viedma","Viedma,Rio Negro Province,Argentina","20020","AR","City",Active,w+CAIQIFISCcXYAWISmPaVEeh6fIdCkEMM
"1000108","Rafaela","Rafaela,Santa Fe Province,Argentina","20021","AR","City",Active,w+CAIQIFISCQ98sg1GrsqVEXvBc9QmueGL
"1000109","Rosario","Rosario,Santa Fe Province,Argentina","20021","AR","City",Active,w+CAIQIFISCVvX1zWTU7aVEVelWALphkDs
"1000112","Santa Fe","Santa Fe,Santa Fe Province,Argentina","20021","AR","City",Active,w+CAIQIFISCeGICMStqbWVEUqAAo0edvfc
"1000114","Venado Tuerto","Venado Tuerto,Santa Fe Province,Argentina","20021","AR","City",Active,w+CAIQIFISCV1SeiSzZMiVEdL9gPOTdMGY
"1000115","Villa Constitucion","Villa Constitucion,Santa Fe Province,Argentina","20021","AR","City",Active,w+CAIQIFISCVUtgWBHbLeVEUhu7Gc8K0G7
"1000116","San Miguel de Tucuman","San Miguel de Tucuman,Tucuman Province,Argentina","20022","AR","City",Active,w+CAIQIFISCQNpxdaSNyKUESdlxbWSW434
"1000117","Comodoro Rivadavia","Comodoro Rivadavia,Chubut Province,Argentina","20023","AR","City",Active,w+CAIQIFISCfUkSOBNVOS9EUvuuDuOf59d
"1000119","Puerto Madryn","Puerto Madryn,Chubut Province,Argentina","20023","AR","City",Active,w+CAIQIFISCdHqoodeNQK-EYJDtBAoDYke
"1000121","Rio Grande","Rio Grande,Tierra del Fuego Province,Argentina","20024","AR","City",Active,w+CAIQIFISCcvBfqlEFku8EShzUgFFPydI
"1000122","Ushuaia","Ushuaia,Tierra del Fuego Province,Argentina","20024","AR","City",Active,w+CAIQIFISCb8J0bq1Iky8EfzrQ7o9R5hU
"1000123","Corrientes","Corrientes,Corrientes Province,Argentina","20025","AR","City",Active,w+CAIQIFISCWvTvtV5a0WUEUYGtPMen5n6
"1000126","Cordoba","Cordoba,Cordoba Province,Argentina","20026","AR","City",Active,w+CAIQIFISCWlbj0dfmDKUEZKwZlOaT6Kw
"1000128","Rio Cuarto","Rio Cuarto,Cordoba Province,Argentina","20026","AR","City",Active,w+CAIQIFISCUci0L0PANKVEePAfF1wCo3F
"1000129","San Francisco","San Francisco,Cordoba Province,Argentina","20026","AR","City",Active,w+CAIQIFISCWfQwYsiKMuVEfQAN4z-qwSP
"1000130","Villa Maria","Villa Maria,Cordoba Province,Argentina","20026","AR","City",Active,w+CAIQIFISCcFtMFH7QsyVEbHGJdT7_7O_
"1000133","San Salvador de Jujuy","San Salvador de Jujuy,Jujuy Province,Argentina","20027","AR","City",Active,w+CAIQIFISCS-m14tODxuUEZnk9lfgUFEx
"1000134","Caleta Olivia","Caleta Olivia,Santa Cruz Province,Argentina","20028","AR","City",Active,w+CAIQIFISCbnVyWi23-W9EZDTkEPIb0v4
"1000135","Rio Gallegos","Rio Gallegos,Santa Cruz Province,Argentina","20028","AR","City",Active,w+CAIQIFISCeVmHLJS-ba9EQJxZEfyQXyr
"1000138","Saint John's","Saint John's,Saint John,Antigua and Barbuda","9075418","AG","City",Active,w+CAIQIFISCaUbjutLkhKMEU8322MvEkZ8
"1000142","Canberra","Canberra,Australian Capital Territory,Australia","20034","AU","City",Active,w+CAIQIFISCbs0C7KjTBZrEXBZaadu6gAE
"1000144","Barwon Downs","Barwon Downs,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCS316JOicdNqEbC_oDCkeQUE
"1000148","Albury","Albury,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCZMf8s1D4CNrEcDkQ5C0CQYE
"1000149","Armidale","Armidale,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCX1cRt3bn59rEcApRJC0CQYF
"1000152","Ballina","Ballina,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCdUD9KxggJBrEcArRJC0CQYF
"1000156","Batemans Bay","Batemans Bay,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCXkzcPIswBVrEWAoRJC0CQYF
"1000157","Bathurst","Bathurst,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCfG4GCxLGBBrEZBbQ5C0CQYE
"1000170","Broken Hill","Broken Hill,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCc3CUt5gM-9qEXABRJC0CQYE
"1000173","Cessnock","Cessnock,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCU3Zkq_3NHNrESDrMhZofQEF
"1000184","Coffs Harbour","Coffs Harbour,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCZN86YtODpxrEXCUQ5C0CQYE
"1000200","Dubbo","Dubbo,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCTuRpEywcQ9rETAlRJC0CQYF
"1000211","Goulburn","Goulburn,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCS2oH-nqrhZrEdAnRJC0CQYF
"1000212","Grafton","Grafton,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCe1zZRF43JtrEYAZRJC0CQYE
"1000213","Griffith","Griffith,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCR3it_ILrh9rEQAlRJC0CQYF
"1000225","Kiama","Kiama,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCd-wM6HRbRNrEdDjMhZofQEF
"1000226","Victoria Point","Victoria Point,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCf8-om4NZpFrEVCc3vNaowIF
"1000227","Katoomba","Katoomba,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCa39PDopbBJrEeDUMhZofQEF
"1000233","Lismore","Lismore,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCZ2QXwVvnpBrEZD4Q5C0CQYE
"1000234","Lithgow","Lithgow,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCat78Qykow1rEfBlQ5C0CQYE
"1000236","Maitland","Maitland,City of Maitland,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCXXUlPTWRXNrEQDwMhZofQEF
"1000246","Craigieburn","Craigieburn,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCYOK8yAyUtZqEaDOjCF1VgQF
"1000250","Muswellbrook","Muswellbrook,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCZGNigseYAtrEQCIQ5C0CQYE
"1000255","Newcastle","Newcastle,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCeUCx3ETPnNrEaCoMhZofQEE
"1000259","Nowra","Nowra,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCTchALADgBRrESDlMhZofQEF
"1000262","Orange","Orange,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCWFIjOLQLBBrEfAjRJC0CQYF
"1000264","Parkes","Parkes,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCVfGNh6yqRprEZB8Q5C0CQYE
"1000269","Port Macquarie","Port Macquarie,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCcHJ7DRc_51rEUAuRJC0CQYF
"1000274","Raymond Terrace","Raymond Terrace,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCXGuS3MeaXNrEbDzMhZofQEF
"1000278","Richmond","Richmond,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCaW-HMdpnRJrEXDIMhZofQEF
"1000281","Sawtell","Sawtell,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCbE4Zld2EZxrEYAfRJC0CQYF
"1000284","Singleton","Singleton,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCdlBYKn7rwxrESCKQ5C0CQYE
"1000286","Sydney","Sydney,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCT90mvM4mBJrEVCoMhZofQED
"1000287","Tamworth","Tamworth,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCVm5hSymmQprERDEQ5C0CQYE
"1000288","Taree","Taree,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCSeRUlYfyHVrEbAuRJC0CQYF
"1000304","Wagga Wagga","Wagga Wagga,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCW-f4IhHmRhrEVDvQ5C0CQYE
"1000314","Wollongong","Wollongong,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCUvJqDbRGhNrEcCoMhZofQEE
"1000320","Central Australia","Central Australia,Northern Territory,Australia","20036","AU","City",Active,w+CAIQIFISCZN3xPorHDIrEXCEJCqoFwIE
"1000322","Darwin","Darwin,Northern Territory,Australia","20036","AU","City",Active,w+CAIQIFISCT8EWZ_8oMAsESB8JCqoFwID
"1000336","Bongaree","Bongaree,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCaPsY1Pd6pNrEcCA3vNaowIF
"1000339","Brisbane","Brisbane,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCTPSk6yaV5FrEUCv3vNaowIE
"1000341","Buderim","Buderim,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCW9xkXfPd5NrEdCo3vNaowIF
"1000342","Bundaberg","Bundaberg,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCaPZZAY_uetrEcDXIH_x7gAE
"1000346","Caboolture","Caboolture,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCUt9ZFOsjZNrEcCC3vNaowIF
"1000347","Cairns","Cairns,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCRMkoltVYnhpEWB4IH_x7gAE
"1000348","Caloundra","Caloundra,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCQPTRCdJmZNrEfCo3vNaowIF
"1000358","Dalby","Dalby,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCQN59Hy8-b1rESCoIH_x7gAE
"1000364","Gladstone","Gladstone,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCTEU3rihdcJrEdDXIH_x7gAE
"1000366","Gympie","Gympie,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCWn7hHBoo5RrEdAQIX_x7gAF
"1000376","Kingston","Kingston,Tasmania,Australia","20039","AU","City",Active,w+CAIQIFISCZFMDnU32G2qEYAV3tBNyQMF
"1000377","Kawana","Kawana,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCQXh4B0nAcNrEZD_IH_x7gAF
"1000380","Mackay","Mackay,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCeviSp1u09trEaCUIH_x7gAE
"1000382","Maroochydore","Maroochydore,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCS07C-Gwd5NrEaCr3vNaowIF
"1000383","Maryborough","Maryborough,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCaVPHFkdZ-trEbARIX_x7gAF
"1000388","Mount Isa","Mount Isa,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCZkbP2ZPsBdqETBxIH_x7gAE
"1000390","Nambour","Nambour,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCROiZMb9eJNrEWCs3vNaowIF
"1000392","Nerang","Nerang,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCWu2WdcUGpFrEeCk3vNaowIF
"1000401","Redcliffe","Redcliffe,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCbs0Czr95ZNrEVCW3vNaowIF
"1000404","Rockhampton","Rockhampton,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCcsYl4uaAMNrEVCUIH_x7gAE
"1000412","Toowoomba","Toowoomba,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCY9l40i6RJZrEVC_IH_x7gAE
"1000414","Townsville","Townsville,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCZdkilUp8NVrEbCBIH_x7gAE
"1000415","Warwick","Warwick,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCevkO4Zzn5drEeAFIX_x7gAF
"1000422","Adelaide","Adelaide,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCT-zJsXHNbdqEUDGjmJUNgME
"1000438","Gawler","Gawler,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCUuwi2XD_7lqEYCwjmJUNgMF
"1000449","Mount Gambier","Mount Gambier,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCd8v3H-mKJ6qEdD-jmJUNgMF
"1000450","Murray Bridge","Murray Bridge,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCbHA_uKIdLdqEfDRjmJUNgME
"1000456","Port Augusta","Port Augusta,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCfMkaWsU27xqETDTjmJUNgME
"1000457","Port Lincoln","Port Lincoln,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCYX7JsLEw6tqEQD_jmJUNgMF
"1000458","Port Pirie","Port Pirie,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCb8Le15cfrtqEVDTjmJUNgME
"1000469","Whyalla","Whyalla,South Australia,Australia","20038","AU","City",Active,w+CAIQIFISCQ3olMerqrxqEQAAj2JUNgMF
"1000476","Burnie - Somerset","Burnie - Somerset,Tasmania,Australia","20039","AU","City",Active,w+CAIQIFISCdfloDew6nuqEQDp3dBNyQME
"1000479","Devonport","Devonport,Tasmania,Australia","20039","AU","City",Active,w+CAIQIFISCY-0KcShNHqqETAP3tBNyQME
"1000480","Hobart","Hobart,Tasmania,Australia","20039","AU","City",Active,w+CAIQIFISCafPufSTCm6qERDn3dBNyQME
"1000481","Launceston","Launceston,Tasmania,Australia","20039","AU","City",Active,w+CAIQIFISCflTBqo1CnqqEUAP3tBNyQME
"1000485","Ulverstone","Ulverstone,Tasmania,Australia","20039","AU","City",Active,w+CAIQIFISCUeo8hx0yXuqEfAR3tBNyQMF
"1000490","Bacchus Marsh","Bacchus Marsh,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCWVx2IFrldZqEQDQjCF1VgQF
"1000491","Bairnsdale","Bairnsdale,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCQ3mxjLSfi9rEWDcoDCkeQUF
"1000492","Ballarat","Ballarat,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCXkYkzBURNFqESC3oDCkeQUE
"1000498","Bendigo","Bendigo,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCRFneqCeWddqEbCIoDCkeQUE
"1000521","Cranbourne","Cranbourne,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCTccty6NDdZqEVDhjCF1VgQF
"1000530","Echuca","Echuca,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCVdLhLhBAtlqEQDZoDCkeQUF
"1000537","Geelong","Geelong,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCYHWFwR7ctRqEaDNjCF1VgQE
"1000549","Horsham","Horsham,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCWV4hPs1Rc5qETDVoDCkeQUF
"1000550","Palmerston City","Palmerston City,Northern Territory,Australia","20036","AU","City",Active,w+CAIQIFISCcfq5lwxvcAsEXBJJSqoFwIF
"1000567","Melbourne","Melbourne,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCfdNutK1RtZqEZDNjCF1VgQE
"1000568","Melton","Melton,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCXdgLNmR8dZqESDQjCF1VgQF
"1000571","Mildura","Mildura,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCcOZ9-xpBMNqEfDUoDCkeQUF
"1000572","Moe - Newborough","Moe - Newborough,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCaNfoFdCCSlrEWbcNfvDJ4Bz
"1000576","Morwell","Morwell,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCUuxb4OEESlrETDcoDCkeQUF
"1000588","Colac","Colac,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCU-26Sr2EdNqEVDCoDCkeQUE
"1000590","Pakenham","Pakenham,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCcVL9MaGG9ZqEbDgjCF1VgQF
"1000593","Portland","Portland,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCREKemNomJ2qEaDVoDCkeQUF
"1000594","Central Coast","Central Coast,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCU2IMh_zzHJrEXCoMhZofQED
"1000599","Casino","Casino,New South Wales,Australia","20035","AU","City",Active,w+CAIQIFISCRX9a1h6D5prESDzQ5C0CQYE
"1000602","Sale","Sale,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCQegf3OnLy9rEfDboDCkeQUF
"1000605","Shepparton - Mooroopna","Shepparton - Mooroopna,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCbUEWefQg9hqESCYoDCkeQUE
"1000609","Sunbury","Sunbury,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCXvyhGx3-dZqETDOjCF1VgQF
"1000614","Traralgon","Traralgon,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCaEb7E54FylrERDcoDCkeQUF
"1000616","Wangaratta","Wangaratta,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCQPeLPKX2yZrEVDToDCkeQUF
"1000620","Warrnambool","Warrnambool,Victoria,Australia","20040","AU","City",Active,w+CAIQIFISCcv5dMv6Tc1qETDPoDCkeQUE
"1000630","Albany","Albany,Western Australia,Australia","20041","AU","City",Active,w+CAIQIFISCWePsM2GGTkqEXDAeSQ49gAE
"1000635","Broome","Broome,Western Australia,Australia","20041","AU","City",Active,w+CAIQIFISCZO2J3_lLnosEVAReiQ49gAF
"1000636","Bunbury","Bunbury,Western Australia,Australia","20041","AU","City",Active,w+CAIQIFISCVEMVyEt4jEqEVDoeSQ49gAE
"1000637","Busselton","Busselton,Western Australia,Australia","20041","AU","City",Active,w+CAIQIFISCd2kGQ0aOS4qEXDoeSQ49gAE
"1000650","Geraldton","Geraldton,Western Australia,Australia","20041","AU","City",Active,w+CAIQIFISCQM6PHDARNorERDceSQ49gAE
"1000652","Hervey Bay","Hervey Bay,Queensland,Australia","20037","AU","City",Active,w+CAIQIFISCf1QiEHFfetrEaD1IH_x7gAE
